Temp Definition °C,Dew Point Definition °C,Rel Hum Definition %,Precip. Amount Definition mm,Wind Dir Definition 10's deg,Wind Spd Definition km/h,Visibility Definition km,Stn Press Definition kPa,Hmdx Definition,Wind Chill Definition,Weather Definition,datetime
-1.1,-12.8,41,0.0,35,18,16.1,101.22,,-6.0,LegendNANA,2021-01-09 07:00:00
-2.1,-12.0,47,0.0,30,5,16.1,101.27,,-4.0,LegendNANA,2021-01-09 08:00:00
-1.3,-11.8,45,0.0,29,5,16.1,101.35,,-3.0,LegendNANA,2021-01-09 09:00:00
0.7,-14.4,32,0.0,33,15,16.1,101.35,,,LegendNANA,2021-01-09 10:00:00
0.6,-12.9,36,0.0,30,15,16.1,101.36,,,LegendNANA,2021-01-09 11:00:00
1.6,-12.8,34,0.0,30,9,16.1,101.28,,,LegendNANA,2021-01-09 12:00:00
4.1,-14.3,25,0.0,33,13,16.1,101.19,,,LegendNANA,2021-01-09 13:00:00
3.9,-12.7,29,0.0,32,17,16.1,101.18,,,LegendNANA,2021-01-09 14:00:00
4.2,-11.6,31,0.0,31,13,16.1,101.19,,,LegendNANA,2021-01-09 15:00:00
3.7,-11.2,33,0.0,33,18,16.1,101.21,,,LegendNANA,2021-01-09 16:00:00
2.0,-9.0,44,0.0,32,18,16.1,101.27,,,LegendNANA,2021-01-09 17:00:00
0.8,-7.3,55,0.0,32,26,16.1,101.29,,,LegendNANA,2021-01-09 18:00:00
0.5,-6.4,60,0.0,32,21,16.1,101.3,,,LegendNANA,2021-01-09 19:00:00
0.2,-5.4,66,0.0,32,24,16.1,101.3,,,LegendNANA,2021-01-09 20:00:00
0.3,-4.4,71,0.0,33,18,16.1,101.31,,,LegendNANA,2021-01-09 21:00:00
-0.1,-3.7,77,0.0,32,13,16.1,101.34,,-4.0,LegendNANA,2021-01-09 22:00:00
-0.5,-3.7,79,0.0,32,15,16.1,101.34,,-5.0,LegendNANA,2021-01-09 23:00:00
-0.7,-3.7,80,0.0,32,8,16.1,101.39,,-4.0,LegendNANA,2021-01-10 00:00:00
-1.0,-3.7,82,0.0,31,11,16.1,101.4,,-5.0,LegendNANA,2021-01-10 01:00:00
-1.0,-3.5,83,0.0,31,11,16.1,101.43,,-5.0,LegendNANA,2021-01-10 02:00:00
-1.1,-3.5,84,0.0,31,9,16.1,101.47,,-4.0,LegendNANA,2021-01-10 03:00:00
-1.1,-3.3,85,0.0,32,11,16.1,101.51,,-5.0,LegendNANA,2021-01-10 04:00:00
-0.9,-3.1,85,0.0,34,8,16.1,101.53,,-4.0,LegendNANA,2021-01-10 05:00:00
-0.9,-3.3,84,0.0,33,9,16.1,101.54,,-4.0,LegendNANA,2021-01-10 06:00:00
-1.1,-3.6,83,0.0,31,9,16.1,101.61,,-4.0,LegendNANA,2021-01-10 07:00:00
-0.9,-3.8,81,0.0,LegendMM,8,16.1,101.66,,-4.0,LegendNANA,2021-01-10 08:00:00
-0.3,-3.5,79,0.0,29,5,16.1,101.72,,-2.0,LegendNANA,2021-01-10 09:00:00
